Timestamp,Motor 1 Power,Motor 2 Power,Motor 3 Power,Motor 4 Power,Motor 5 Power,Motor 6 Power,Motor 7 Power,Motor 8 Power,Motor 9 Power,Motor 10 Power,Motor 11 Power,Motor 12 Power,Motor 1 Torque,Motor 2 Torque,Motor 3 Torque,Motor 4 Torque,Motor 5 Torque,Motor 6 Torque,Motor 7 Torque,Motor 8 Torque,Motor 9 Torque,Motor 10 Torque,Motor 11 Torque,Motor 12 Torque,Motor 1 Velocity,Motor 2 Velocity,Motor 3 Velocity,Motor 4 Velocity,Motor 5 Velocity,Motor 6 Velocity,Motor 7 Velocity,Motor 8 Velocity,Motor 9 Velocity,Motor 10 Velocity,Motor 11 Velocity,Motor 12 Velocity,Battery Voltage
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0225,-0.2455,0.0586,0.1435,0.0011,-0.0049,-0.0018,0.0153,0.0057,0.1824,-0.2269,-0.0193,-0.0033,-0.0132,0.0038,0.0321,-0.0264,-0.0136,0.0046,0.0045,0.0096,0.0165,-0.0195,0.0083,23.3333
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0027,-0.1912,0.0642,0.1178,0.0047,-0.0083,0.0046,0.0132,0.0134,0.1467,-0.2068,-0.0280,-0.0079,0.0195,-0.0232,-0.0225,0.0017,-0.0005,-0.0112,0.0039,0.0251,-0.0171,0.0093,-0.0002,23.4583
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0042,-0.1882,0.0713,0.1164,0.0014,-0.0107,0.0088,0.0110,0.0093,0.1467,-0.2027,-0.0275,0.0009,-0.0094,-0.0062,-0.0075,0.0007,-0.0082,0.0060,-0.0029,-0.0077,0.0115,0.0063,0.0041,23.4167
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023,-0.1882,0.0668,0.1134,0.0070,-0.0101,0.0049,0.0110,0.0118,0.1467,-0.2037,-0.0315,-0.0004,0.0012,-0.0033,-0.0062,-0.0089,0.0001,-0.0195,0.0053,-0.0153,-0.0012,-0.0127,0.0104,23.4583
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0053,-0.1864,0.0692,0.1141,0.0084,-0.0101,0.0057,0.0109,0.0100,0.1465,-0.2098,-0.0284,0.0041,0.0134,-0.0008,-0.0058,-0.0010,0.0075,0.0173,-0.0040,-0.0077,0.0064,0.0010,0.0033,23.4583
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0037,-0.1876,0.0679,0.1173,0.0016,-0.0101,0.0060,0.0095,0.0109,0.1482,-0.2027,-0.0287,0.0029,0.0140,0.0084,-0.0045,0.0012,-0.0056,-0.0004,0.0091,0.0113,0.0087,0.0248,0.0153,23.4167
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0065,-0.1849,0.0673,0.1133,0.0058,-0.0062,0.0031,0.0110,0.0141,0.1489,-0.2004,-0.0285,-0.0001,-0.0039,-0.0206,-0.0159,-0.0063,-0.0067,-0.0008,0.0031,0.0207,0.0096,-0.0082,0.0144,23.4583
24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0032,-0.1821,0.0687,0.1102,0.0084,-0.0070,0.0074,0.0100,0.0117,0.1462,-0.2045,-0.0323,0.0153,-0.0168,0.0020,0.0045,0.0081,0.0025,0.0161,-0.0023,-0.0214,0.0009,0.0070,-0.0087,23.4167
25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0050,-0.1814,0.0696,0.1133,0.0005,-0.0087,0.0065,0.0124,0.0158,0.1471,-0.2016,-0.0256,-0.0077,0.0035,-0.0017,0.0084,-0.0033,-0.0007,0.0049,-0.0037,-0.0007,0.0032,-0.0068,0.0083,23.4167
26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020,-0.1829,0.0697,0.1100,-0.0006,-0.0076,0.0074,0.0113,0.0171,0.1444,-0.1990,-0.0265,0.0002,-0.0186,-0.0068,-0.0031,0.0101,0.0002,0.0198,-0.0041,0.0030,0.0069,0.0031,0.0049,23.4583
